,Technology_ETF,Financials_ETF,Energy_ETF,Healthcare_ETF,Consumer Discretionary,Consumer Staples_ETF,Utilities_ETF,Materials_ETF,Industrials_ETF,Real Estate_ETF,Consumer Staples_CRSP,Energy_CRSP,Financials_CRSP,Healthcare_CRSP,Industrials_CRSP,Materials_CRSP,Real Estate_CRSP,Technology_CRSP,Unknown,Utilities_CRSP,GDP Growth,Unemployment Rate,Interest Rate,Inflation Rate,Economic Cycle
2000-01-31,,,,,,,,,,,-0.008013945595854922,,0.00016302355157795574,-0.006576347338935574,-0.004398086714841579,-0.003533513684210526,-0.0194185246449457,-0.0014303734015345267,0.0042185416666666664,-0.0021721692524682653,1.5,4.0,6.661,0.013464024127531692,Expansion
2000-02-29,0.10506802490760325,-0.1070460823168331,-0.042333847123065316,-0.06538661240476296,-0.05571523465844441,-0.11701365851308132,-0.12153797469447736,-0.10046906333449646,-0.05517188481038593,,0.019112841145833333,,0.0062222393767705384,0.014902624649859943,0.031393936383928574,0.018748307368421053,0.027353367598684213,0.01595749487179487,-0.006329833333333334,0.014342446327683616,,4.1,6.519499999999999,0.019688915140775046,Unknown
2000-03-31,0.08389253385478512,0.18262377394438656,0.12442345233854168,0.08995000140453735,0.1415169804607772,0.037593126624087425,0.10923703571429577,0.10089351895527021,0.13920666262924364,,0.008314156862745099,,0.003415971236816874,0.013834240896358544,0.020383076707726766,0.02337840146750524,0.01286214054927302,0.013380620512820515,0.0030952499999999995,0.014681168555240794,,4.0,6.256521739130435,0.02557544757033239,Unknown
2000-04-30,-0.09184699289275178,0.009658476528768833,-0.01492531881217285,-0.011716614451140694,-0.02082251773786581,0.05301893458477647,0.06545834517291871,-0.03322018558841744,0.014445290305582947,,,,,,,,,,,,7.5,3.8,5.990526315789474,-0.0027847396268445464,Expansion
2000-05-31,-0.10397731775445251,0.022322240481963407,0.11742407471920213,-0.026804517519138926,-0.05398014846162491,0.07132846531039583,-0.0021937580895226017,-0.03155658463938937,-0.0042191133068202324,,0.002451899736147757,,0.0033866588740458013,0.006864470085470085,0.0015536616331096199,-0.0011846485922836288,0.0038355159744408946,0.01279134536082474,-0.0037658749999999997,0.0014338199718706048,,4.0,6.440454545454545,0.007632228356271985,Unknown
2000-06-30,0.09955599665314674,-0.04850163715606537,-0.05501607785156992,0.0021185898674804804,-0.05410200665653819,0.05661212431871521,-0.0339670003182575,-0.08551177638293572,-0.03933125241173219,,0.001768058201058201,,-0.0020650090605627085,0.004676363896848138,0.007298001680672269,0.0006099033613445378,0.008062328310864394,0.005424974093264249,-0.01933825,0.005721959039548023,,4.0,6.097272727272728,0.026550552251486895,Unknown
2000-07-31,-0.053056520617003056,0.08815773901371649,-0.03810490812950651,-0.014799056043086067,0.015872921558747644,-0.036532098243957645,0.015481172235962903,0.008751009351763317,0.015469806722615997,,0.0023944398395721925,,0.005290144015259895,0.006419478991596639,0.011876459654980524,0.0033291153039832285,0.009806512981904013,0.0005037994791666668,0.0010684166666666665,0.0108433059490085,0.4,4.0,6.054,0.013198183929891643,Expansion
2000-08-31,0.10170563924717646,0.1015720122397572,0.10920734862567616,0.0354076217220336,-0.04146599863758249,-0.012210521524985252,0.03896139848055924,0.022870314563643523,0.09902029289973724,,0.0015612543741588157,,0.005133447318007663,0.021338271468144047,0.01708220796460177,0.010349167185877467,0.019454595163806553,0.011646537662337662,0.004218416666666666,0.007331857344632768,,4.1,5.826086956521739,0.0,Unknown
2000-09-30,-0.17965750869141384,0.021739875033489175,0.01644144692470184,-0.03626909783794163,0.0012245664235501774,0.04429501750290399,0.13214310700818022,-0.09803229691591808,-0.029042099322502013,,,,,,,,,,,,,3.9,5.799,0.024815948382827552,Unknown
2000-10-31,-0.05727764021183146,-0.008621122290831229,-0.027181766827968135,0.015053468729067099,-0.01255410283629843,0.06941873089072814,0.058082839702449984,0.08770395767467343,0.022494890891119557,,0.02214654570637119,,0.009258706871696299,0.020167865013774107,0.03236419376391982,0.016643335100742312,0.032414418641390205,0.006632762886597938,0.03383577272727272,0.02867074609929078,2.4,3.9,5.738571428571428,0.007513524343819626,Expansion
2000-11-30,-0.20514671621309144,-0.051087218335675866,-0.05245107733133603,-0.09110132500798751,-0.024793456440820982,0.03450331462298761,-0.0004575418109316054,-0.025296060508023244,-0.033999867259397965,,-0.01427325988700565,,-0.004155248666989821,-0.014228379501385042,-0.03125837115707099,-0.017848258583690987,-0.0304613848,-0.026522441253263706,-0.010116608695652174,-0.020923120396600565,,3.9,5.717142857142857,0.007841497203199165,Unknown
2000-12-31,-0.09892080520272961,0.08532774074521421,0.10209531954456552,0.016500162511561722,0.07046999617100314,0.036375118342516055,-0.013645867365094655,0.14088806677058408,0.03950612613262483,,,,,,,,,,,,,3.9,5.2405,0.010934339292548036,Unknown
2001-01-31,0.19121759006367567,-0.0023725343472937865,-0.03186457764432593,0.07229400253614937,0.11628817880632214,-0.0729100947870901,-0.05627126680968941,-0.026695123214956373,0.003839741246471462,,0.005463644314868805,,0.0006716288659793814,0.0025278342696629214,0.002472523673702225,-0.002911250275633958,-0.006890990961380444,-0.0006395661375661375,-0.0031262916666666665,-0.0006511031976744187,-1.3,4.2,5.160952380952381,0.024901638527815042,Contraction
2001-02-28,-0.2490614614874731,-0.06727827938645425,-0.012138091009828433,-0.019164827012159824,-0.07140388653361995,0.00604215054645052,0.020753912324588786,0.01294948543878549,-0.05992957219301065,,-0.005383863703703704,,0.00030430044182621496,-0.0040158951841359775,-0.016321599541021227,-0.002778194046306505,-0.018586662790697674,-0.008702201072386059,-0.007683791666666666,-0.009250146412884333,,4.2,5.098947368421053,0.01138952164009166,Unknown
2001-03-31,-0.1146021856831353,-0.029951875424924057,-0.02983314215729871,-0.06403108345882169,-0.014582110615971922,-0.06935749600725527,-0.01433555409708176,-0.050080289420817325,-0.09576965724869757,,,,,,,,,,,,,4.3,4.885454545454546,0.002582644628098843,Unknown
2001-04-30,0.1616940622587708,0.036171874972193985,0.10325802939322748,0.07382601458606208,0.046378018414455324,0.019417773964777174,0.0482574533060014,0.10665999210220867,0.11432851738957384,,0.00864239908952959,,0.002363708498023715,0.012356224137931035,0.014931419486581096,0.012080485907553552,0.015859245266781414,0.006004562162162162,-0.003259291666666667,0.011290303303303302,2.5,4.4,5.141,0.007743534148986108,Expansion
2001-05-31,-0.04095835634771561,0.04400020719428577,-0.009448050916851192,0.038194648261705044,0.023809418447625186,0.014682745519054574,0.0070127086123070725,0.03846166877244461,0.04184948377551878,,0.003752858678955453,,0.004361085359801489,0.009457526470588236,0.009722472598703595,0.012311854545454545,0.009451006999125109,0.003145142857142857,-0.001320958333333333,0.005734664145234493,,4.3,5.391363636363637,0.022182786157941222,Unknown
2001-06-30,0.019544174268496528,-0.007156539471614876,-0.09113129911447304,-0.011296735965432236,-0.007874489384639416,-0.046252915899405944,-0.05017505774049014,-0.034512461911764714,-0.061788258691845566,,,,,,,,,,,,,4.5,5.284285714285714,0.010743157951278871,Unknown
2001-07-31,-0.06922265700585017,-0.009507086804029119,-0.011532241446258973,-0.019966342299872042,0.04445223992492142,0.030440598523448825,-0.00898860630626408,-0.0027206347419160837,-0.002075554863478546,,0.004622576744186047,,0.0043447456445993024,-0.0016938171091445428,0.0032970796670630203,0.007358789595375722,0.0005597778785131459,-0.0014975250000000002,0.013948791666666668,0.0018978268933539414,-1.6,4.6,5.236190476190477,-0.007340167845170736,Contraction
2001-08-31,-0.12204453128519188,-0.06612197299250988,-0.04233298840364996,-0.05075969285748638,-0.08754317276187062,0.0047897876727793776,-0.03563320435864836,-0.004090643291507212,-0.034327337860730944,,0.010347645110410095,,0.0014010035,0.0010335000000000001,0.007826005991611745,0.0036185046511627906,0.011422535580524345,0.009918310541310543,-0.008748124999999999,0.0034538335925349923,,4.9,4.971304347826087,0.0,Unknown
2001-09-30,-0.1637703689294293,-0.0563448653093348,-0.09623329502030131,-0.14479205472016043,-0.12631605413185998,-0.0012046154353132499,-0.009558042234879216,-0.11844456530465353,-0.14651908708093153,,,,,,,,,,,,,5.0,4.731764705882353,0.01878992859827077,Unknown
2001-10-31,0.10909074115735362,-0.014182102047505918,0.040278876394583385,0.005106426617008664,0.052678049951372374,-0.00638522122752605,-0.05263204129270971,0.027083814230753456,0.017744071171656772,,0.015043138977635782,,0.0042409242273180455,0.016597036363636363,0.014988837153196623,0.011185753521126761,0.014830813819577736,0.006666117142857143,0.006306695652173914,0.008246039001560063,1.1,5.3,4.566818181818181,-0.012206137245807103,Expansion
